;model_output_id;model_id;image_group_id;image_id_1;image_id_1_species_name;image_id_1_conf;image_id_1_count;image_id_1_blank;image_id_1_detectable;image_id_2;image_id_2_species_name;image_id_2_conf;image_id_2_count;image_id_2_blank;image_id_2_detectable;image_id_3;image_id_3_species_name;image_id_3_conf;image_id_3_count;image_id_3_blank;image_id_3_detectable;load_date;image_id_1_bbox;image_id_2_bbox;image_id_3_bbox
59;5060;5;SSWI000000019632734;B;;;0;True;False;A;;;0;True;False;C;;;0;True;False;2021-11-10;;;
60;5061;5;SSWI000000016819280;C;;;0;True;False;A;;;1;False;False;B;;;0;True;False;2021-11-10;;0.2082,0.7812,0.3531,0.3643;
61;5062;5;SSWI000000019326573;C;;;1;False;False;A;;;0;True;False;B;;;1;False;False;2021-11-10;0.3713,0.9378,0.6479,0.1224;;0.5677,0.9466,0.5828,0.1047
62;5063;5;SSWI000000011962425;C;;;1;False;False;A;;;2;False;False;B;;;1;False;False;2021-11-10;0.246,0.8459,0.1842,0.159;"0.1705,0.6305,0.3305,0.1334;0.2299,0.6015,0.2019,0.0779";0.1704,0.7363,0.1453,0.1306
63;5064;5;SSWI000000013446156;C;;;0;True;False;A;;;1;False;False;B;;;0;True;False;2021-11-10;;0.3288,0.5385,0.126,0.04891;
64;5065;5;SSWI000000023457309;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.26,0.9544,0.1776,0.08426;0.2407,0.9428,0.1645,0.1065;0.1151,0.9358,0.2297,0.1208
65;5066;5;SSWI000000012445491;A;;;1;False;False;C;;;1;False;False;B;;;1;False;False;2021-11-10;0.531,0.5295,0.1289,0.1811;0.8695,0.6577,0.2608,0.1819;0.7805,0.6394,0.2591,0.2264
66;5067;5;SSWI000000022174815;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.5684,0.6464,0.1633,0.1075;0.706,0.6701,0.2258,0.1197;0.558,0.6393,0.1742,0.1117
67;5068;5;SSWI000000020299958;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.7582,0.7384,0.4833,0.5215;0.4606,0.4901,0.9212,0.9791;0.122,0.6241,0.2409,0.7439
68;5069;5;SSWI000000016452673;C;;;0;True;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;;0.9584,0.6054,0.08314,0.07086;0.8189,0.5982,0.1234,0.06592
69;5070;5;SSWI000000020398107;C;;;0;True;False;A;;;1;False;False;B;;;0;True;False;2021-11-10;;0.2297,0.6612,0.2108,0.2727;
70;5071;5;SSWI000000018313347;B;;;4;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;"0.6114,0.6698,0.1142,0.1145;0.8083,0.487,0.05419,0.1272;0.7795,0.4895,0.1198,0.1445;0.6206,0.6511,0.1411,0.1553";0.4308,0.8703,0.1288,0.255;0.746,0.6562,0.1515,0.1263
71;5072;5;SSWI000000016913715;C;;;0;True;False;B;;;2;False;False;A;;;1;False;False;2021-11-10;;"0.6112,0.6052,0.07902,0.07686;0.6061,0.6299,0.0984,0.1228";0.6701,0.5934,0.07523,0.05592
72;5073;5;SSWI000000013550296;A;;;1;False;False;C;;;1;False;False;B;;;1;False;False;2021-11-10;0.8424,0.3468,0.311,0.4285;0.2984,0.3517,0.4508,0.5152;0.4677,0.3617,0.4074,0.4885
73;5074;5;SSWI000000021333358;C;;;2;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;"0.9682,0.4975,0.06202,0.1611;0.5962,0.3701,0.1272,0.2133";0.1976,0.6495,0.3936,0.3225;0.8928,0.5241,0.2049,0.261
74;5075;5;SSWI000000008485941;A;;;0;True;False;B;;;0;True;False;C;;;0;True;False;2021-11-10;;;
75;5076;5;SSWI000000020299984;B;;;3;False;False;A;;;2;False;False;C;;;2;False;False;2021-11-10;"0.7557,0.8087,0.06085,0.102;0.7606,0.7653,0.07071,0.1737;0.7451,0.8306,0.07846,0.1522";"0.8835,0.8926,0.1276,0.1206;0.854,0.9008,0.1903,0.1391";"0.7602,0.824,0.06325,0.08004;0.7601,0.8426,0.07255,0.1172"
76;5077;5;SSWI000000017062627;B;;;0;True;False;A;;;1;False;False;C;;;0;True;False;2021-11-10;;0.2646,0.5515,0.1961,0.1251;
77;5078;5;SSWI000000019682317;A;;;2;False;False;C;;;1;False;False;B;;;2;False;False;2021-11-10;"0.5594,0.6488,0.1666,0.1465;0.527,0.637,0.2181,0.1815";0.5397,0.6586,0.1489,0.1237;"0.5475,0.6502,0.1704,0.1593;0.0952,0.7488,0.1127,0.09033"
78;5079;5;SSWI000000017432803;B;;;4;False;False;C;;;4;False;False;A;;;5;False;False;2021-11-10;"0.5133,0.4379,0.03615,0.0612;0.4105,0.8341,0.101,0.1555;0.4346,0.4482,0.03473,0.02577;0.5217,0.4408,0.05831,0.06923";"0.5123,0.437,0.03907,0.06077;0.4268,0.8079,0.07135,0.1615;0.435,0.4481,0.03887,0.02736;0.5173,0.4379,0.05852,0.06774";"0.3247,0.9254,0.1148,0.144;0.513,0.4354,0.03461,0.06241;0.3687,0.9272,0.2042,0.1422;0.4363,0.4482,0.04108,0.02694;0.516,0.4374,0.05603,0.06945"
79;5080;5;SSWI000000010891278;A;;;1;False;False;B;;;0;True;False;C;;;0;True;False;2021-11-10;0.9171,0.7309,0.1434,0.08731;;
80;5081;5;SSWI000000016654800;B;;;1;False;False;A;;;1;False;False;C;;;1;False;False;2021-11-10;0.1579,0.4696,0.2821,0.2005;0.4183,0.4989,0.2497,0.2524;0.0994,0.4546,0.1986,0.2035
81;5082;5;SSWI000000016739008;C;;;1;False;False;A;;;1;False;False;B;;;1;False;False;2021-11-10;0.7763,0.5444,0.2628,0.312;0.1275,0.5891,0.255,0.4232;0.6952,0.5255,0.2683,0.3721
82;5083;5;SSWI000000020301953;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.494,0.6647,0.06068,0.0796;0.503,0.6625,0.0678,0.08711;0.6866,0.6613,0.1258,0.1043
83;5084;5;SSWI000000010724143;C;;;1;False;False;B;;;1;False;False;A;;;1;False;False;2021-11-10;0.2353,0.6371,0.1821,0.1872;0.2026,0.6391,0.1966,0.1698;0.0865,0.6375,0.1714,0.1585
84;5085;5;SSWI000000020365599;B;;;1;False;False;C;;;3;False;False;A;;;1;False;False;2021-11-10;0.3183,0.8361,0.4382,0.3156;"0.2892,0.8018,0.4004,0.3937;0.3124,0.8545,0.3271,0.2841;0.3904,0.7805,0.6672,0.4281";0.5202,0.8345,0.2631,0.3218
85;5414;5;SSWI000000020301578;C;;;0;True;False;B;;;1;False;False;A;;;0;True;False;2021-11-10;;0.9305,0.8847,0.1203,0.1308;
86;5086;5;SSWI000000021189178;C;;;1;False;False;B;;;2;False;False;A;;;1;False;False;2021-11-10;0.513,0.9109,0.9739,0.1659;"0.518,0.9091,0.964,0.1653;0.234,0.6264,0.07072,0.05667";0.517,0.9087,0.9603,0.164
87;5087;5;SSWI000000019158866;C;;;1;False;False;B;;;0;True;False;A;;;0;True;False;2021-11-10;0.0794,0.5193,0.0694,0.185;;
88;5088;5;SSWI000000007147330;B;;;1;False;False;C;;;2;False;False;A;;;1;False;False;2021-11-10;0.5876,0.6155,0.8234,0.7626;"0.5958,0.6359,0.8083,0.7271;0.2802,0.705,0.1554,0.3358";0.3342,0.4236,0.5487,0.8176
89;5089;5;SSWI000000009518903;B;;;1;False;False;A;;;5;False;False;C;;;1;False;False;2021-11-10;0.1476,0.639,0.06528,0.04214;"0.377,0.7132,0.1135,0.08459;0.3939,0.7305,0.08082,0.05008;0.4093,0.7246,0.1157,0.06661;0.376,0.7067,0.1652,0.1055;0.4357,0.7331,0.1348,0.0697";0.9672,0.7999,0.06542,0.07283
90;5090;5;SSWI000000023457297;B;;;1;False;False;C;;;0;True;False;A;;;2;False;False;2021-11-10;0.0327,0.9433,0.06546,0.1112;;"0.2608,0.9196,0.1462,0.1478;0.1962,0.9143,0.2746,0.1564"
91;5091;5;SSWI000000016760240;A;;;2;False;False;B;;;2;False;False;C;;;1;False;False;2021-11-10;"0.0587,0.4477,0.111,0.163;0.5052,0.8774,0.9806,0.2234";"0.4994,0.8743,0.9949,0.2314;0.1087,0.3861,0.04692,0.09099";0.4913,0.875,0.9801,0.2259
92;5092;5;SSWI000000020300321;A;;;1;False;False;C;;;1;False;False;B;;;1;False;False;2021-11-10;0.0415,0.9165,0.08306,0.1568;0.1307,0.9031,0.2563,0.1891;0.1275,0.8959,0.2517,0.201
93;5093;5;SSWI000000015508841;B;;;0;True;False;C;;;0;True;False;A;;;2;False;False;2021-11-10;;;"0.5638,0.3451,0.09624,0.1532;0.5581,0.376,0.1173,0.2022"
94;5094;5;SSWI000000019046341;C;;;3;False;False;B;;;2;False;False;A;;;1;False;False;2021-11-10;"0.693,0.901,0.2116,0.1978;0.7366,0.8946,0.3344,0.2106;0.7835,0.8536,0.4117,0.2825";"0.8668,0.7694,0.2615,0.4609;0.8649,0.8291,0.2542,0.2853";0.8297,0.8905,0.3357,0.2187
95;5095;5;SSWI000000021125742;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.6001,0.6829,0.1961,0.2023;0.6143,0.6724,0.243,0.1837;0.6529,0.6745,0.3177,0.2023
96;5096;5;SSWI000000006317506;A;;;1;False;False;B;;;1;False;False;C;;;1;False;False;2021-11-10;0.5561,0.7367,0.2233,0.1161;0.8878,0.7948,0.2198,0.1334;0.9343,0.8075,0.1282,0.1411
97;5097;5;SSWI000000020299056;A;;;2;False;False;C;;;1;False;False;B;;;1;False;False;2021-11-10;"0.8878,0.7771,0.2242,0.3949;0.8871,0.6854,0.216,0.2154";0.8791,0.7718,0.2408,0.4407;0.8788,0.7711,0.2402,0.4368
