image_group_id,blank,consol_dict_model_3,consol_dict_model_4,event_final_topk_conf,species,md_count_max,yolo_count_max,md_bbox,yolo_bbox
2031166,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.43720561265945435, 0.24186213314533234], 'bear': [0.41255101561546326]}","{'blank': 0.99, 'bear': 0.34379251301288605, 'raccoon': 0.1445934424797694}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2031408,True,"{'blank': [0.99, 0.99, 0.99]}","{'bear': [0.7455686330795288, 0.6738033294677734, 0.6878802180290222]}","{'blank': 0.99, 'bear': 0.6213071942329407, 'coyote': 0.060060402999321624}",bear,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2032137,True,"{'blank': [0.99, 0.99, 0.99]}","{'bear': [0.6651167273521423, 0.6818259954452515, 0.7428622841835022]}","{'blank': 0.99, 'bear': 0.6190519034862518, 'deer': 0.06413317595918974}",bear,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2032620,True,"{'blank': [0.99, 0.99, 0.99]}","{'turkey': [0.7412096858024597, 0.8299956321716309, 0.8188503980636597]}","{'blank': 0.99, 'turkey': 0.6916630268096924, 'foxgray_foxred': 0.07466985533634822}",turkey,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2032882,False,"{'blank': [0.99, 0.99, 0.99]}","{'elk': [0.4873649775981903, 0.5440357327461243, 0.7301775813102722]}","{'blank': 0.99, 'elk': 0.6084813177585602, 'raccoon': 0.1842861870924632}",elk,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2033028,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8537434339523315, 0.689926028251648, 0.8510291576385498]}","{'blank': 0.99, 'turkey': 0.13835201660792035, 'bear': 0.03495744429528713}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2035054,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.9574322700500488, 0.8935577869415283, 0.9231261610984802]}","{'blank': 0.99, 'turkey': 0.05296912044286728, 'foxgray_foxred': 0.01315377652645111}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2035148,True,"{'deer': [0.323974609], 'blank': [0.99, 0.99]}","{'blank': [0.49015942215919495, 0.5999633073806763, 0.48557156324386597]}","{'deer': 0.38876953080000004, 'turkey': 0.2652657528718313, 'cottontail_snowshoehare': 0.09224227940042815}",deer,0,1,"{'A': [], 'B': [], 'C': []}","{'A': [['0.3167613646904386,0.4573863530956141,0.06960227061912282,0.08806821133228059']], 'B': [], 'C': []}"
2035571,True,"{'blank': [0.99, 0.99, 0.99]}","{'blank': [0.8192497491836548, 0.7197815775871277, 0.8365758657455444]}","{'blank': 0.99, 'turkey': 0.0815983551243941, 'coyote': 0.0366999829808871}",blank,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
2039377,True,"{'blank': [0.99, 0.99, 0.99]}","{'foxgray_foxred': [0.3262256681919098], 'deer': [0.6400654911994934, 0.6072178483009338]}","{'blank': 0.99, 'deer': 0.5333879093329112, 'foxgray_foxred': 0.2718547234932582}",deer,0,0,"{'A': [], 'B': [], 'C': []}","{'A': [], 'B': [], 'C': []}"
