image_group_id,image_id_1,image_id_2,image_id_3,image_id_1_count,image_id_2_count,image_id_3_count,image_id_1_conf,image_id_2_conf,image_id_3_conf,image_id_1_bbox,image_id_2_bbox,image_id_3_bbox,image_id_1_species,image_id_2_species,image_id_3_species,image_id_1_blank,image_id_2_blank,image_id_3_blank,image_id_1_detectable,image_id_2_detectable,image_id_3_detectable,model_id
SSWI000000015225165,A,B,C,1,0,0,0.999,,,"0.3847,0.5413,0.2994,0.1564",,,,,,False,True,True,False,False,False,5
SSWI000000015231265,A,B,C,1,0,0,0.998,,,"0.2072,0.539,0.2332,0.2644",,,,,,False,True,True,False,False,False,5
SSWI000000015231270,A,B,C,1,3,0,0.999,0.439;0.386;0.16,,"0.3291,0.6329,0.4042,0.4399","0.9224,0.5212,0.1523,0.2136;0.9637,0.4948,0.07124,0.1574;0.9413,0.5159,0.114,0.1668",,,,,False,False,True,False,False,False,5
SSWI000000015251144,A,B,C,1,0,0,0.995,,,"0.1495,0.5785,0.1432,0.09422",,,,,,False,True,True,False,False,False,5
SSWI000000015299510,A,B,C,2,1,0,0.995;0.12,0.99,,"0.8492,0.6656,0.1375,0.08085;0.9632,0.6678,0.07345,0.08659","0.1768,0.5986,0.1132,0.07104",,,,,False,False,True,False,False,False,5
SSWI000000015323237,A,B,C,1,1,1,0.999,0.999,0.998,"0.1598,0.5213,0.3171,0.588","0.2303,0.5858,0.4508,0.5345","0.2933,0.6814,0.4606,0.369",,,,False,False,False,False,False,False,5
SSWI000000015327120,A,B,C,1,2,1,0.992,0.984;0.365,0.998,"0.1968,0.7104,0.09511,0.06735","0.1607,0.7257,0.06372,0.07549;0.1727,0.7251,0.1064,0.07548","0.1929,0.7622,0.07062,0.1036",,,,False,False,False,False,False,False,5
SSWI000000015362155,A,B,C,1,1,1,0.999,0.999,0.999,"0.5155,0.6013,0.09302,0.1158","0.5746,0.6213,0.1147,0.1241","0.5952,0.624,0.116,0.1224",,,,False,False,False,False,False,False,5
SSWI000000015442293,A,B,C,2,2,1,0.943;0.377,0.6;0.134,0.284,"0.1477,0.5689,0.08015,0.04501;0.1098,0.5691,0.1474,0.05197","0.1413,0.5643,0.06363,0.04323;0.103,0.5663,0.1211,0.04895","0.1616,0.573,0.09752,0.05036",,,,False,False,False,False,False,False,5
SSWI000000015443014,A,B,C,5,0,0,0.969;0.601;0.212;0.135;0.134,,,"0.8934,0.6173,0.1369,0.07586;0.8828,0.6135,0.1758,0.1008;0.9051,0.5956,0.1555,0.1223;0.8614,0.5934,0.2358,0.1393;0.9065,0.6326,0.1522,0.1078",,,,,,False,True,True,False,False,False,5
SSWI000000015508841,A,B,C,2,0,0,0.206;0.107,,,"0.5638,0.3451,0.09624,0.1532;0.5581,0.376,0.1173,0.2022",,,,,,False,True,True,False,False,False,5
